,Bacteria,Drug,MIC_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt,,,
703,Bacillus subtilis,Chloramphenicol,16,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Benzene derivatives,323.132,,,
704,Escherichia coli,Kanamycin,0.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
705,Salmonella typhimurium,Kanamycin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,484.503,,,
706,Staphylococcus aureus,Kanamycin,32,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
707,Bacillus subtilis,Kanamycin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,484.503,,,
708,Escherichia coli,Ampicillin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
709,Salmonella typhimurium,Ampicillin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organoheterocyclic compounds,349.412,,,
710,Staphylococcus aureus,Ampicillin,0.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
711,Bacillus subtilis,Ampicillin,0.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organoheterocyclic compounds,349.412,,,
712,Escherichia coli,Biapenem,0.05,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,350.4,,,
713,Salmonella typhimurium,Biapenem,0.05,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,350.4,,,
714,Staphylococcus aureus,Biapenem,0.05,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,350.4,,,
715,Bacillus subtilis,Biapenem,0.01,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,350.4,,,
716,Escherichia coli,Aztreonam,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,435.44,,,
717,Salmonella typhimurium,Aztreonam,0.05,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,435.44,,,
718,Staphylococcus aureus,Aztreonam,0.05,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,435.44,,,
719,Bacillus subtilis,Aztreonam,32,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,435.44,,,
720,Escherichia coli,Levofloxacin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,361.373,,,
721,Vibrio cholerae,Levofloxacin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,n,48,60,72,30,2,water,Quinolines,361.373,,,
722,Enterococcus faecalis,Levofloxacin,8,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,Quinolines,361.373,,,
723,Staphylococcus aureus,Levofloxacin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,361.373,,,
724,Salmonella typhi,Levofloxacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Quinolines,361.373,,,
725,Proteus vulgaris,Levofloxacin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus vulgaris,n,24,48,72,30,2,soil,Quinolines,361.373,,,
895,Escherichia coli,Ampicillin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
896,Klebsiella pneumoniae,Ampicillin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organoheterocyclic compounds,349.412,,,
897,Pseudomonas aeruginosa,Ampicillin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412,,,
898,Acinetobacter baumannii,Ampicillin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412,,,
899,Staphylococcus aureus,Ampicillin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
900,Staphylococcus saprophyticus,Ampicillin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,Organoheterocyclic compounds,349.412,,,
901,Staphylococcus sciuri,Ampicillin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin,Organoheterocyclic compounds,349.412,,,
902,Staphylococcus epidermidis,Ampicillin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Organoheterocyclic compounds,349.412,,,
903,Escherichia coli,Kanamycin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
904,Klebsiella pneumoniae,Kanamycin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,484.503,,,
905,Pseudomonas aeruginosa,Kanamycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
906,Acinetobacter baumannii,Kanamycin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,484.503,,,
907,Staphylococcus aureus,Kanamycin,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
908,Staphylococcus saprophyticus,Kanamycin,0.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,Organooxygen compounds,484.503,,,
909,Staphylococcus sciuri,Kanamycin,8,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin,Organooxygen compounds,484.503,,,
911,Escherichia coli,Vancomycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271,,,
912,Klebsiella pneumoniae,Vancomycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,carboxylic acids,1449.271,,,
913,Pseudomonas aeruginosa,Vancomycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,carboxylic acids,1449.271,,,
914,Acinetobacter baumannii,Vancomycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,carboxylic acids,1449.271,,,
915,Staphylococcus aureus,Vancomycin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271,,,
916,Staphylococcus saprophyticus,Vancomycin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,carboxylic acids,1449.271,,,
917,Staphylococcus sciuri,Vancomycin,0.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin,carboxylic acids,1449.271,,,
918,Staphylococcus epidermidis,Vancomycin,2,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,carboxylic acids,1449.271,,,
919,Escherichia coli,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,331.347,,,
920,Klebsiella pneumoniae,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Quinolines,331.347,,,
921,Pseudomonas aeruginosa,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
922,Acinetobacter baumannii,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Quinolines,331.347,,,
923,Staphylococcus aureus,Ciprofloxacin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,331.347,,,
924,Staphylococcus saprophyticus,Ciprofloxacin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,Quinolines,331.347,,,
925,Staphylococcus sciuri,Ciprofloxacin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin,Quinolines,331.347,,,
926,Staphylococcus epidermidis,Ciprofloxacin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Quinolines,331.347,,,
927,Escherichia coli,Colistin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,2296.971,,,
929,Pseudomonas aeruginosa,Colistin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,2296.971,,,
930,Acinetobacter baumannii,Colistin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Carboxylic acids and derivatives,2296.971,,,
931,Staphylococcus aureus,Colistin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,2296.971,,,
932,Staphylococcus saprophyticus,Colistin,64,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,Carboxylic acids and derivatives,2296.971,,,
934,Staphylococcus epidermidis,Colistin,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Carboxylic acids and derivatives,2296.971,,,
935,Escherichia coli,Rifampicin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Macrolactams,822.953,,,
936,Klebsiella pneumoniae,Rifampicin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Macrolactams,822.953,,,
937,Pseudomonas aeruginosa,Rifampicin,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Macrolactams,822.953,,,
938,Acinetobacter baumannii,Rifampicin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Macrolactams,822.953,,,
939,Staphylococcus aureus,Rifampicin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Macrolactams,822.953,,,
940,Staphylococcus saprophyticus,Rifampicin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,p,18,21,24,30,2,urine,Macrolactams,822.953,,,
941,Staphylococcus sciuri,Rifampicin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Staphylococcus sciuri,p,18,33,48,37,1,skin,Macrolactams,822.953,,,
942,Staphylococcus epidermidis,Rifampicin,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Macrolactams,822.953,,,
1055,Escherichia coli,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,585.608,,,
1056,Escherichia coli,Gentamicin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603,,,
1057,Escherichia coli,Kanamycin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
1058,Escherichia coli,Amoxicillin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411,,,
1059,Escherichia coli,Ampicillin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
1060,Escherichia coli,Ceftazidime,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,546.587,,,
1061,Escherichia coli,Ceftriaxone,0.06,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,554.592,,,
1062,Escherichia coli,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,331.347,,,
1063,Escherichia coli,Doxycycline,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,462.455,,,
1064,Escherichia coli,Tetracycline,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44,,,
1065,Escherichia coli,Chloramphenicol,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132,,,
1066,Escherichia coli,Trimethoprim,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,phenol ethers,290.323,,,
1067,Acinetobacter baumannii,Amikacin,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,585.608,,,
1068,Acinetobacter baumannii,Gentamicin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Aminoglycoside ,477.603,,,
1070,Acinetobacter baumannii,Amoxicillin,4096,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,365.411,,,
1071,Acinetobacter baumannii,Ampicillin,4096,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412,,,
1072,Acinetobacter baumannii,Ceftazidime,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587,,,
1073,Acinetobacter baumannii,Ceftriaxone,2048,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,554.592,,,
1074,Acinetobacter baumannii,Ciprofloxacin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Quinolines,331.347,,,
1075,Acinetobacter baumannii,Doxycycline,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,462.455,,,
1076,Acinetobacter baumannii,Tetracycline,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,444.44,,,
1078,Acinetobacter baumannii,Trimethoprim,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,phenol ethers,290.323,,,
1079,Klebsiella aerogenes,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,585.608,,,
1080,Klebsiella aerogenes,Gentamicin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Aminoglycoside ,477.603,,,
1081,Klebsiella aerogenes,Kanamycin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,484.503,,,
1082,Klebsiella aerogenes,Amoxicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,365.411,,,
1083,Klebsiella aerogenes,Ampicillin,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organoheterocyclic compounds,349.412,,,
1084,Klebsiella aerogenes,Ceftazidime,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,546.587,,,
1085,Klebsiella aerogenes,Ceftriaxone,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,554.592,,,
1086,Klebsiella aerogenes,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Quinolines,331.347,,,
1087,Klebsiella aerogenes,Doxycycline,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,462.455,,,
1088,Klebsiella aerogenes,Tetracycline,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,444.44,,,
1089,Klebsiella aerogenes,Chloramphenicol,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Benzene derivatives,323.132,,,
1090,Klebsiella aerogenes,Trimethoprim,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,phenol ethers,290.323,,,
1091,Pseudomonas aeruginosa,Amikacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1092,Pseudomonas aeruginosa,Gentamicin,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1093,Pseudomonas aeruginosa,Kanamycin,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
1096,Pseudomonas aeruginosa,Ceftazidime,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1097,Pseudomonas aeruginosa,Ceftriaxone,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,554.592,,,
1098,Pseudomonas aeruginosa,Ciprofloxacin,0.03,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1103,Shigella sonnei,Amikacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,585.608,,,
1104,Shigella sonnei,Gentamicin,0.06,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Aminoglycoside ,477.603,,,
1105,Shigella sonnei,Kanamycin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,484.503,,,
1106,Shigella sonnei,Amoxicillin,2048,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,365.411,,,
1107,Shigella sonnei,Ampicillin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organoheterocyclic compounds,349.412,,,
1108,Shigella sonnei,Ceftazidime,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,546.587,,,
1109,Shigella sonnei,Ceftriaxone,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,554.592,,,
1110,Shigella sonnei,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Quinolines,331.347,,,
1111,Shigella sonnei,Doxycycline,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,462.455,,,
1112,Shigella sonnei,Tetracycline,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,444.44,,,
1113,Shigella sonnei,Chloramphenicol,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Benzene derivatives,323.132,,,
