,Bacteria,Drug,Drug_dose (μg/disk),ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt
333,Enterobacter cloacae,Trimethoprim,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacaecomplex,n,2,9,15,37,2,activated sludge,phenol ethers,290.323
334,Escherichia coli,Amikacin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,585.608
335,Escherichia coli,Gentamicin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603
336,Escherichia coli,Kanamycin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503
337,Escherichia coli,Streptomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,581.58
338,Escherichia coli,Amoxicillin,500,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411
339,Escherichia coli,Ampicillin,500,29,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412
340,Escherichia coli,Penicillin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,372.487
341,Escherichia coli,Piperacillin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,517.564
342,Escherichia coli,Faropenem,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,285.321
343,Escherichia coli,Ceftazidime,500,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,546.587
344,Escherichia coli,Ceftriaxone,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,554.592
345,Escherichia coli,Cefotaxime,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,477.456
346,Escherichia coli,Polymyxin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,NC,2392.971
347,Escherichia coli,Vancomycin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271
348,Escherichia coli,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,733.937
349,Escherichia coli,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Diazanaphthalenes,232.239
350,Escherichia coli,Rifampicin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Macrolactams,822.953
351,Escherichia coli,Tetracycline,500,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44
352,Escherichia coli,Doxycycline,500,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,462.455
353,Escherichia coli,Chloramphenicol,500,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132
354,Escherichia coli,Nitrofurantoin,500,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Azolidines,238.159
355,Escherichia coli,Trimethoprim,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,phenol ethers,290.323
356,Haemophilus influenzae,Amikacin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Organooxygen compounds,585.608
357,Haemophilus influenzae,Gentamicin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Aminoglycoside ,477.603
358,Haemophilus influenzae,Kanamycin,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Organooxygen compounds,484.503
359,Haemophilus influenzae,Streptomycin,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Organooxygen compounds,581.58
360,Haemophilus influenzae,Amoxicillin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Lactams,365.411
361,Haemophilus influenzae,Ampicillin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Organoheterocyclic compounds,349.412
362,Haemophilus influenzae,Penicillin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Carboxylic acids and derivatives,372.487
363,Haemophilus influenzae,Piperacillin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Carboxylic acids and derivatives,517.564
364,Haemophilus influenzae,Faropenem,500,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Carboxylic acids and derivatives,285.321
365,Haemophilus influenzae,Ceftazidime,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Lactams,546.587
366,Haemophilus influenzae,Ceftriaxone,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Lactams,554.592
367,Haemophilus influenzae,Cefotaxime,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Lactams,477.456
368,Haemophilus influenzae,Polymyxin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,NC,2392.971
369,Haemophilus influenzae,Vancomycin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,carboxylic acids,1449.271
370,Haemophilus influenzae,Erythromycin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Organooxygen compounds,733.937
371,Haemophilus influenzae,Nalidixic acid,500,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Diazanaphthalenes,232.239
372,Haemophilus influenzae,Rifampicin,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Macrolactams,822.953
373,Haemophilus influenzae,Tetracycline,500,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Tetracyclines,444.44
374,Haemophilus influenzae,Doxycycline,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Tetracyclines,462.455
375,Haemophilus influenzae,Chloramphenicol,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Benzene derivatives,323.132
376,Haemophilus influenzae,Nitrofurantoin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,Azolidines,238.159
377,Haemophilus influenzae,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,n,24,36,48,37,2,respiratory tract,phenol ethers,290.323
378,Klebsiella pneumoniae,Amikacin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,585.608
379,Klebsiella pneumoniae,Gentamicin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Aminoglycoside ,477.603
380,Klebsiella pneumoniae,Kanamycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,484.503
381,Klebsiella pneumoniae,Streptomycin,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,581.58
382,Klebsiella pneumoniae,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Lactams,365.411
383,Klebsiella pneumoniae,Ampicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organoheterocyclic compounds,349.412
384,Klebsiella pneumoniae,Penicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Carboxylic acids and derivatives,372.487
385,Klebsiella pneumoniae,Piperacillin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Carboxylic acids and derivatives,517.564
386,Klebsiella pneumoniae,Faropenem,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Carboxylic acids and derivatives,285.321
387,Klebsiella pneumoniae,Ceftazidime,500,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Lactams,546.587
388,Klebsiella pneumoniae,Ceftriaxone,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Lactams,554.592
389,Klebsiella pneumoniae,Cefotaxime,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Lactams,477.456
390,Klebsiella pneumoniae,Polymyxin,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,NC,2392.971
391,Klebsiella pneumoniae,Vancomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,carboxylic acids,1449.271
392,Klebsiella pneumoniae,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,733.937
393,Klebsiella pneumoniae,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Diazanaphthalenes,232.239
394,Klebsiella pneumoniae,Rifampicin,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Macrolactams,822.953
395,Klebsiella pneumoniae,Tetracycline,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Tetracyclines,444.44
396,Klebsiella pneumoniae,Doxycycline,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Tetracyclines,462.455
397,Klebsiella pneumoniae,Chloramphenicol,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Benzene derivatives,323.132
398,Klebsiella pneumoniae,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Azolidines,238.159
399,Klebsiella pneumoniae,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,phenol ethers,290.323
400,Neisseria mucosa,Amikacin,500,20,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Organooxygen compounds,585.608
401,Neisseria mucosa,Gentamicin,500,30,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Aminoglycoside ,477.603
402,Neisseria mucosa,Kanamycin,500,26,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Organooxygen compounds,484.503
403,Neisseria mucosa,Streptomycin,500,28,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Organooxygen compounds,581.58
404,Neisseria mucosa,Amoxicillin,500,40,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Lactams,365.411
405,Neisseria mucosa,Ampicillin,500,22,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Organoheterocyclic compounds,349.412
406,Neisseria mucosa,Penicillin,500,46,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Carboxylic acids and derivatives,372.487
407,Neisseria mucosa,Piperacillin,500,40,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Carboxylic acids and derivatives,517.564
408,Neisseria mucosa,Faropenem,500,48,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Carboxylic acids and derivatives,285.321
409,Neisseria mucosa,Ceftazidime,500,32,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Lactams,546.587
410,Neisseria mucosa,Ceftriaxone,500,47,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Lactams,554.592
411,Neisseria mucosa,Cefotaxime,500,30,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Lactams,477.456
412,Neisseria mucosa,Polymyxin,500,16,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,NC,2392.971
413,Neisseria mucosa,Vancomycin,500,24,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,carboxylic acids,1449.271
414,Neisseria mucosa,Erythromycin,500,25,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Organooxygen compounds,733.937
415,Neisseria mucosa,Nalidixic acid,500,14,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Diazanaphthalenes,232.239
416,Neisseria mucosa,Rifampicin,500,44,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Macrolactams,822.953
417,Neisseria mucosa,Tetracycline,500,34,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Tetracyclines,444.44
418,Neisseria mucosa,Doxycycline,500,34,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Tetracyclines,462.455
419,Neisseria mucosa,Chloramphenicol,500,32,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Benzene derivatives,323.132
420,Neisseria mucosa,Nitrofurantoin,500,8,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,Azolidines,238.159
421,Neisseria mucosa,Trimethoprim,500,25,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,n,24,36,48,30,2,sputum,phenol ethers,290.323
422,Proteus mirabilis,Amikacin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Organooxygen compounds,585.608
423,Proteus mirabilis,Gentamicin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Aminoglycoside ,477.603
424,Proteus mirabilis,Kanamycin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Organooxygen compounds,484.503
425,Proteus mirabilis,Streptomycin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Organooxygen compounds,581.58
426,Proteus mirabilis,Amoxicillin,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Lactams,365.411
427,Proteus mirabilis,Ampicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Organoheterocyclic compounds,349.412
428,Proteus mirabilis,Penicillin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Carboxylic acids and derivatives,372.487
429,Proteus mirabilis,Piperacillin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Carboxylic acids and derivatives,517.564
430,Proteus mirabilis,Faropenem,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Carboxylic acids and derivatives,285.321
431,Proteus mirabilis,Ceftazidime,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Lactams,546.587
432,Proteus mirabilis,Ceftriaxone,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Lactams,554.592
433,Proteus mirabilis,Cefotaxime,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Lactams,477.456
434,Proteus mirabilis,Polymyxin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,NC,2392.971
435,Proteus mirabilis,Vancomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,carboxylic acids,1449.271
436,Proteus mirabilis,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Organooxygen compounds,733.937
437,Proteus mirabilis,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Diazanaphthalenes,232.239
438,Proteus mirabilis,Rifampicin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Macrolactams,822.953
439,Proteus mirabilis,Tetracycline,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Tetracyclines,444.44
440,Proteus mirabilis,Doxycycline,500,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Tetracyclines,462.455
441,Proteus mirabilis,Chloramphenicol,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Benzene derivatives,323.132
442,Proteus mirabilis,Nitrofurantoin,500,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,Azolidines,238.159
443,Proteus mirabilis,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,n,24,48,72,37,2,urine,phenol ethers,290.323
444,Pseudomonas aeruginosa,Amikacin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608
445,Pseudomonas aeruginosa,Gentamicin,500,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603
446,Pseudomonas aeruginosa,Kanamycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503
447,Pseudomonas aeruginosa,Streptomycin,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,581.58
448,Pseudomonas aeruginosa,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,365.411
449,Pseudomonas aeruginosa,Ampicillin,500,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412
450,Pseudomonas aeruginosa,Penicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,372.487
451,Pseudomonas aeruginosa,Piperacillin,500,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,517.564
452,Pseudomonas aeruginosa,Faropenem,500,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,285.321
453,Pseudomonas aeruginosa,Ceftazidime,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587
